Aeschylus|Prometheus Bound|More leisure than I wish is mine.
Marco Aurelio|NULL|La morte sorride a tutti; un uomo non puo far altro che sorriderle di rimando.
Jane Austen|Northanger Abbey|...and from habitude very little incommoded by the remarks and ejaculations of Mrs. Allen, whose vacancy of mind, and incapacity for thinking, were such that, as she never talked a great deal, so she could never be entirely silent.
Jane Austen|Northanger Abbey|...it did not appear to her that life could supply any greater felicity.
Jane Austen|Northanger Abbey|It was not within the power of his gallantry to detain her longer.
Jane Austen|Northanger Abbey|And why had she been so partial to that grove? Was it from dejection of spirits?
Jane Austen|Persuasion|...and though not the very happiest being in the world herself, had found enough in her duties, her friends, and her children, to attach her to life, and make it no matter of indifference to her when she was called on to quit them.
Jane Austen|Persuasion|A short period of exquisite felicity followed, and but a short one.
Jane Austen|Persuasion|She had some feelings she was ashamed to investigate. They were too much like joy, senseless joy!
Jane Austen|Persuasion|Yes, here I am, Sophia, quite ready to make a foolish match. Anybody between fifteen and thirty may have me for asking. A little beauty, a few smiles, and a few compliments to the navy, and I am a lost man.
Jane Austen|Pride and Prejudice|...but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien, and the report which was in general circulation within five minutes after his entrance, of his having ten thousand a year.
Jane Austen|Pride and Prejudice|Have you anything else to propose for my domestic felicity?
Jane Austen|Pride and Prejudice|I have not the pleasure of understanding you... Of what are you talking?
Jane Austen|Pride and Prejudice|I never saw a more promising inclination. He was growing quite inattentive to other people, and wholly engrossed by her. Every time they met, it was more decided and remarkable. At his own ball he offended two or three young ladies by not asking them to dance, and I spoke to him twice myself, without receiving an answer. Could there be finer symptoms? Is not general incivility the very essence of love?
Jane Austen|Pride and Prejudice|And now nothing remains for me but to assure you in the most animated language of the violence of my affection.
Jane Austen|Pride and Prejudice|The Gardiners staid only one night at Longbourn, and set off the next morning with Elizabeth in pursuit of novelty and amusement.
Jane Austen|Sense and Sensibility|"Is there a felicity in the world," said Marianne, "superior to this?"
Jane Austen|Sense and Sensibility|...and they sympathised with each other in an insipid propriety of demeanour, and a general want of understanding.
Jane Austen|Sense and Sensibility|Elinor agreed to it all, for she did not think he deserved the compliment of rational opposition.
Francis Bacon|Novum Organum|Truth emerges more readily from error than from confusion.
Alessandro Baricco|Océan Mer|Elle n'a pas de murs, Tombouctou, parce que là-bas ils pensent, depuis toujours, que sa beauté suffirait, à elle seule, pour arrêter n'importe quel ennemi.
Alessandro Baricco|Océan Mer|Plage. Et mer.^NL^Lumière.^NL^Le vent du nord.^NL^Le silence des marées.^NL^Des jours. Des nuits.^NL^Une liturgie. Immobile, si on regarde bien. em(Immobile.)
Basho|NULL|The temple bell stops,^NL^but the sound keeps coming^NL^out of the flowers.
Charles Baudelaire|Le voyage|Mais les vrais voyageurs sont ceux-là seuls qui partent^NL^Pour partir, coeurs légers, semblables aux ballons,^NL^De leur fatalité jamais ils ne s'écartent,^NL^Et, sans savoir pourquoi, disent toujours : Allons!
Charles Baudelaire|Petits poèmes en prose|Grand délice que celui de noyer son regard dans l'immensité du ciel et de la mer! Solitude, silence, incomparable chasteté de l'azur!
Charles Baudelaire|Petits poèmes en prose|Multitude, solitude: termes égaux et convertibles pour le poëte actif et fécond. Qui ne sait pas peupler sa solitude, ne sait pas non plus être seul dans une foule affairée.
Charles Baudelaire|Petits poèmes en prose|...le bonheur est marié au silence.
Charles Baudelaire|Petits poèmes en prose|Ô nuit! ô rafraîchissantes ténèbres! vous êtes pour moi le signal d'une fête intérieure, vous êtes la délivrance d'une angoisse! Dans la solitude des plaines, dans les labyrinthes pierreux d'une capitale, scintillement des étoiles, explosion des lanternes, vous êtes le feu d'artifice de la déesse Liberté!
Charles Baudelaire|Petits poèmes en prose|Les illusions, — me disait mon ami, — sont aussi innombrables peut-être que les rapports des hommes entre eux, ou des hommes avec les choses. Et quand l'illusion disparaît, c'est-à-dire quand nous voyons l'être ou le fait tel qu'il existe en dehors de nous, nous éprouvons un bizarre sentiment, compliqué moitié de regret pour le fantôme disparu, moitié de surprise agréable devant la nouveauté, devant le fait réel.
Charles Baudelaire|Petits poèmes en prose|Il est l'heure de s'enivrer! Pour n'être pas les esclaves martyrisés du Temps, enivrez-vous; enivrez-vous sans cesse! De vin, de poésie ou de vertu, à votre guise.
Charles Baudelaire|Petits poèmes en prose|J'invoque la muse familière, la citadine, la vivante, pour qu'elle m'aide à chanter les bons chiens, les pauvres chiens, les chiens crottés, ceux-là que chacun écarte, comme pestiférés et pouilleux, excepté le pauvre dont ils sont les associés, et le poète qui les regarde d'un œil fraternel.
Charles Baudelaire|Petits poèmes en prose|Connaissez-vous la paresseuse Belgique, et avez-vous admiré comme moi tous ces chiens vigoureux attelés à la charrette du boucher, de la laitière ou du boulanger, et qui témoignent, par leurs aboiements triomphants, du plaisir orgueilleux qu'ils éprouvent à rivaliser avec les chevaux?
Charles Baudelaire|NULL|Ô Mort, vieux capitaine, il est temps! levons l'ancre!^NL^Ce pays nous ennuie, ô Mort! Appareillons!
Mark Bauerlein|The Dumbest Generation|...ordinary reading, slow and uniform, strikes them [digital natives] as incompatible, alien. It isn't just boring and obsolete. It's irritating.
Mark Bauerlein|The Dumbest Generation|Few things are worse for adolescent minds than overblown appraisals of their merits.
Mark Bauerlein|The Dumbest Generation|The more mentors have engaged youth in youth terms, though, the more youth have disengaged from the mentors themselves and from the culture they are supposed to represent.
Mark Bauerlein|The Dumbest Generation|The 18-year-old may have a Visa card, cell phone, My Space page, part-time job, Play Station 2, and an admissions letter to State U., but ask this wired and on-the-go high school senior a few intellectual questions and the facade of in-the-knowness crumbles.
Mark Bauerlein|The Dumbest Generation|For all their technological adroitness, they don't read or write or divide very well.
Mark Bauerlein|The Dumbest Generation|Fully 45 percent of the students just don't think leisure reading is important ("a little" or "not at all"). Unconvinced of what adult readers feel deep in their hearts and know from long experience, nearly half of the student body disregards books by choice and disposition, and they don't expect to suffer for it. In their minds, a-literacy and anti-intellectualism pose no career obstacles, and they have no shame attached.
Mark Bauerlein|The Dumbest Generation|How serenely this undergrad announces the transfer from "the whole book thing" to the Internet, as if the desertion of a civilization's principal storehouse merits little more than a shrug.
Mark Bauerlein|The Dumbest Generation|In an average young person's online experience, the senses may be stimulated and the ego touched, but vocabulary doesn't expand, memory doesn't improve, analytic talents don't develop, and erudition doesn't ensue.
Mark Bauerlein|The Dumbest Generation|If the guardians of tradition claim that the young, though ignorant, have a special perspective on the past, or if teachers prize the impulses of tenth-graders more than the thoughts of the wise and the works of the masters, learning loses its point. The thread of intellectual inheritance snaps.
Mark Bauerlein|The Dumbest Generation|Over the years, the indulgence of youth circulated among educators and settled into sanctioned pedagogy with a predictable result: not an unleashing of independent, creative, skeptical mental energies of rising students, but what we have seen in previous chapters, routine irreverence and knowledge deficits.
Mark Bauerlein|The Dumbest Generation|In 1959, political philosopher Leo Strauss defined liberal education as "the counter-poison to mass culture". A history professor who agrees with this view today becomes a fuddy-duddy in his own department.
Mark Bauerlein|The Dumbest Generation|Spend some hours in school zones and you see that the indulgent attitude toward youth, along with the downplaying of tradition, has reached the point of dogma among teachers, reporters, researchers, and creators in arts and humanitarian fields, and pro-knowledge, pro-tradition conceptions strike them as bluntly unpleasant, if not reactionary and out of touch.
Mark Bauerlein|The Dumbest Generation|Confidence and enjoyment don't guarantee better students. Furthermore, they prevent the students from forming one of the essential ingredients of long-term success: an accurate, realistic appraisal of their present capacities.
Mark Bauerlein|The Dumbest Generation|A predictable descent commenced. The sixties generation's leaders didn't anticipate how their claim of exceptionalism would affect the next generation, and the next, but the sequence was entirely logical. Informed rejection of the past became uninformed rejection of the past, and then the complete and unworried ignorance of it.
Yves Beauchemin|The Alleycat|What's come over you? Have you found a Rembrandt in your basement?
Yves Beauchemin|The Alleycat|...as empty as the inside of your shiny skull.
Yves Beauchemin|The Alleycat|A kitchen should look like an operating room. The most tenacious germ should die in an hour, of melancholy.
Yves Beauchemin|The Alleycat|Save your tears to salt your soup.
Arnold Bennett|The Old Wives' Tale|It must not be supposed that stout women of a certain age never seek to seduce the eye and trouble the meditations of man by other than moral charms.
Arnold Bennett|The Old Wives' Tale|She was attached to it by the heavy chains of habit.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|This artificial method of communicating thought, we now behold carried to the highest perfection. Language is become a vehicle by which the most delicate and refined emotions of one mind can be transmitted, or, if we may so speak, transfused into another. Not only are names given to all objects around us, by which means an easy and speedy intercourse is carried on for providing the necessaries of life, but all the relations and differences among these objects are minutely marked, the invisible sentiments of the mind are described, the most abstract notions and conceptions are rendered intelligible; and all the ideas which science can discover, or imagination create, are known by their proper names... The object is become familiar; and, like the expanse of the firmament, and other great objects, which we are accustomed to behold, we behold it without wonder.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|And hence, if our Language, by reason of the simple arrangement of its words, possesses less harmony, less beauty, and less force, than the Greek or Latin; it is, however, in its meaning, more obvious and plain.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|...we must not forget to observe, that spoken language has a great superiority over written language, in point of energy or force. The voice of the living speaker makes impression on the mind, much stronger than can be made by the perusal of any writing.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|em(It), is the most general term that can possibly be conceived, as it may stand for any one thing in the universe of which we speak.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|The Greek, which is the most perfect of all the known tongues, is very regular and complete in all the moods and tenses. The Latin, though formed on the same model, is not so perfect; particularly in the passive voice, which forms most of the tenses, by the help of the auxiliary "sum".
Hugh Blair|Lectures on Rhetoric and Belles Lettres|It [French] is, perhaps, the happiest language for conversation, in the known world; but on the higher subjects of composition, the English may be justly esteemed greatly to excel it considerably.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|Perspicuity, it will be readily admitted, is the fundamental quality of Style; a quality so essential in every kind of Writing, that for the want of it, nothing can atone. Without this, the richest ornaments of Style only glimmer through the dark; and puzzle instead of pleasing the reader. This, therefore, must be our first object, to make our meaning clearly and fully understood, and understood without the least difficulty. "Discourse" says Quintilian, "ought always to be obvious, oven to the most careless and negligent hearer, so that the sense shall strike his mind, as the light of the sun does our eyes, though they are not directed upwards to it. We must study, not only that every hearer may understand us, but that it shall be impossible for him not to understand us."
Hugh Blair|Lectures on Rhetoric and Belles Lettres|We are pleased with an author, we consider him as deserving praise, who frees us from all fatigue of searching for his meaning; who carries us through his subject without any embarrassment or confusion; whose style flows always like a limpid stream, where we see to the very bottom.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|A multitude of Latin words have of late been poured in upon us.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|The words which a man uses to express his ideas, may be faulty in three respects; they may either not express that idea which the author intends, but some other which only resembles, or is akin to it; or, they may express that idea, but not quite fully and completely; or, they may express it, together with something more than he intends. Precision stands opposed to all these three faults; but chiefly to the last.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|The use and importance of Precision, may be deduced from the nature of the human mind. It never can view, clearly and distinctly, above one object at a time.
Hugh Blair|Lectures on Rhetoric and Belles Lettres|Thought and language act and re-act upon each other mutually. Logic and rhetoric have here, as in many other cases, a strict connexion; and he that is learning to arrange his sentences with accuracy and order, is learning, at the same time, to think with accuracy and order...
Hugh Blair|Lectures on Rhetoric and Belles Lettres|To pronounce with a proper degree of slowness, and with a full and clear articulation, is the first thing to be studied by all who begin to speak in public; and cannot be too much recommended to them.
William Blake|Introduction to Songs of Experience|Hear the voice of the Bard!^NL^Who Present, Past & Future sees;^NL^Whose ears have heard^NL^The Holy Word^NL^That walk'd among the ancient trees;
William Blake|The Marriage of Heaven and Hell|If the doors of perception were cleansed every thing would appear to man as it is, infinite.
Robert Bly|The Sibling Society|...infantilization is deepening in a culture increasingly driven by electronics.
Robert Bly|The Sibling Society|Television is stealing the neocortex's observation time and giving a little useless information in return.
Robert Bly|The Sibling Society|But today we are lying to ourselves about the renaissance the computer will bring. It will bring nothing.
Robert Bly|The Sibling Society|We do not value initiation of young men or women, because we can't imagine invisible gifts any more.
Robert Bly|The Sibling Society|Capitalism has siphoned off male energy.
Chas Blyth|NULL|So I lowered the sails... and once I had lowered them there was nothing more I could do except pray. So I prayed. And between times I turned to one of my sailing manuals to see what advice it contained for me. It was like being in hell with instructions.
Bowden et. al.|Faster Than Thought|The machines have already reached the stage where the most common source of error is the human beings who programme them.
Bowden et. al.|Faster Than Thought|A rough count showed that about 150 machines are under construction in America and England. One sometimes wonders where the programmers will come from.
Bowden et. al.|Faster Than Thought|Coding time is usually only a fraction of the total time involved in getting the programme to work - such is the frailty of mankind.
Ernle Bradford|The Journeying Moon|But at sea, alone at the tiller, on a clear night with the stars in their millions and oneself alone, a pinpoint to the Moon, I felt nearer to the cool abstract heart of the Universe.
Ernle Bradford|The Journeying Moon|Sometimes, in the late hours with a big city blinking outside the windows, people ask "But, out of all the places you've been to, which would you prefer to live in?" Always I am about to say "Greece," then something checks me, and I answer "Sicily".
Tim Bray|Beautiful Code|Computers can compute, but that's not what people use them for, mostly. Mostly, computers store and retrieve information.
Richard Brodie|Virus of the Mind|To the universe, there's no em(you), or human beings, or giraffes, or solar systems, or galaxies. All those are human-invented distinctions. They are all memes.
Richard Brodie|Virus of the Mind|Our minds excel at copying information and at following instructions. Remember the four characteristics of a virus: penetration, copying, possibly issuing instructions, and spreading. As horrifying as the thought may be initially, our minds are ideally susceptible to infection by mind viruses.
Richard Brodie|Virus of the Mind|Memes involving danger, food, and sex spread faster than other memes because we are wired to pay more attention to them - we have em(buttons) around those subjects.
Richard Brodie|Virus of the Mind|The ideas that spread the easiest, and therefore pervade society, are the ones that easily penetrate that old Stone-Age brain of ours. The whole of science has been a concerted effort to em(foil) that natural selection of Stone-Age ideas by our brains and instead select ideas that are useful, that work, that are accurate models of reality.
Richard Brodie|Virus of the Mind|A recent Diet Pepsi campaign featured celebrities and showgirls smiling, cavorting, and grunting "uh-huh!" for half a minute. Not exactly a logical delineation of the product's features and benefits.
Richard Brodie|Virus of the Mind|Here is why imitation is so widespread; it is a good strategy. The others being imitated are the end line of a billion years of natural selection; they are the em(survivors), the successful replicators.
Charlotte Brontë|Jane Eyre|If she were a nice, pretty child, one might compassionate her forlornness; but one really cannot care for such a little toad as that.
Charlotte Brontë|Jane Eyre|I have no relative but the universal mother, Nature: I will seek her breast and ask repose.
Charlotte Brontë|Villette|She went through, in that brief interval of her infant life, emotions such as some never feel: it was in her constitution: she would have more of such instants if she lived.
Charlotte Brontë|Villette|I now signified that it was imperatively necessary my apartment should be relieved of the honour of her presence: she went away laughing.
Charlotte Brontë|Villette|He laid himself open to my observation, according to my presence in the room just that degree of notice and consequence a person of my exterior habitually expects: that is to say, about what is given to unobtrusive articles of furniture, chairs of ordinary joiner's work, and carpets of no striking pattern.
Charlotte Brontë|Villette|No mockery in this world ever sounds to me so hollow as that of being told to em(cultivate) happiness. What does such advice mean? Happiness is not a potato, to be planted in mould, and tilled with manure.
Charlotte Brontë|Villette|...a young lady in whose skull the organs of reverance and reserve were not largely developed...
Emily Brontë|Julian M. and A.G. Rochelle|Oh, dreadful is the check - intense the agony^NL^When the ear begins to hear and the eye begins to see;^NL^When the pulse begins to throb, the brain to think again,^NL^The soul to feel the flesh and the flesh to feel the chain!
Bill Bryson|A Short History of Nearly Everything|Being you is not a gratifying experience at the atomic level.
Bill Bryson|A Short History of Nearly Everything|Space is extremely well named and rather dismayingly uneventful.
Bill Bryson|A Short History of Nearly Everything|There seemed to be a mystifying universal conspiracy among textbook authors to make certain the material they dealt with never strayed too near the realm of the mildly interesting, and was always at least a long-distance phone call from the frankly interesting.
Mme Campan|Mémoires|Ces excursions secrètes, la fréquentation trop habituelle de Louis XV avec des demoiselles dont les charmes remplaçaient les avantages de l'éducation...
Mme Campan|Mémoires|Je rentrai chez moi pour écrire cette conversation.
Mme Campan|Mémoires|Puisque la fortune est si volage et que vous avez vu par vos propres yeux avec quelle rapidité elle abandonne ses favoris, n'oubliez jamais ces deux vers de La Fontaine, et qu'ils vous servent de devise: em(Travaillez, prenez de la peine; C'est le fonds qui manque le moins.)
Mme Campan|Mémoires|Voici un trait vraiment touchant qu'on raconte du jeune dauphin que la mort nous a enlevé. Ce prince étant tombé en langeur de la maladie dont il est mort, avait toujours témoigné beaucoup d'affection à M. de Bourset, son valet de chambre. Il lui demanda un jour des ciseaux; ce gentilhomme lui représenta que cela lui était défendu. L'enfant insista avec douceur, et l'on fut obligé de lui céder. Muni des ciseaux qu'il désirait, il s'en servit pour se couper une boucle de cheveux qu'il enveloppa avec soin dans une feuille de papier: "Tenez, Monsieur, dit-il à son valet de chambre, voilà le seul présent que je puisse vous faire, n'ayant rien à ma disposition; mais quand je serai mort, vous présenterez ce gage à mon papa et à maman; en se souvenant de moi, j'espère qu'ils se souviendront de vous." [Le dauphin avait 7 ans.]
Mme Campan|Mémoires|C'était particulièrement contre la reine que l'insurrection était dirigée: je frémis encore en me souvenant que les poissardes, ou plutôt les furies qui portaient des tabliers blancs, criaient qu'ils étaient destinés à recevoir les entrailles de Marie-Antoinette; qu'elles s'en feraient des cocardes, et mêlaient les expressions les plus obscènes à ces horribles menaces; tant l'ignorance et la cruauté, qui se trouvent dans le masse de presque tous les peuples, peuvent dans les temps de troubles leur inspirer des sentiments atroces!
Mme Campan|Mémoires|Le chevalier de Dampierre avait été tué près de la voiture du roi, en sortant de Varennes. Un pauvre curé de village, à quelques lieues de l'endroit où ce crime venait d'être commis, eut l'imprudence de s'approcher pour parler au roi; les cannibales qui environnaient la voiture se jettent sur lui. "Tigres, leur cria Barnave, avez-vous cessé d'être Français? Nation de braves, êtes-vous devenue un peuple d'assassins?..." Ces seules paroles sauvèrent d'une mort certaine le curé déjà terrassé. Barnave, en les prononçant, s'était jeté presque hors la portière, et madame Élisabeth, touchée de ce noble élan, le retenait par la basque de son habit.
Mme Campan|Mémoires|La grande piété de madame Élisabeth donnaient à ses actions et à ses discours une noblesse qui peignait celle de son ame. Le jour où l'on immola cette digne descendante de saint Louis, le bourreau, en lui attachant les mains derrière le dos, releva une des pointes du devant de son fichu. Madame Élisabeth, avec un calme et une voix qui semblait ne pas venir de la terre, lui dit ces mots: "Au nom de la pudeur, couvrez-moi le sein." J'ai appris ce trait héroïque de madame de Sérilly, condamnée le même jour que la princesse, mais qui obtint un sursis au moment de l'exécution, madame de Montmorin, sa parente, ayant déclaré que sa cousine était grosse.
Albert Camus|Jonas, or the Artist at Work|Louisa's vocation was activity. Such a vocation happily complemented Jonas's taste for inertia.
Carl Jung|Collected Works, v.10|With many men of twenty-five the period of psychological puberty is not yet over.
Carl Jung|Psychology and Alchemy|Experience, not books, is what leads to understanding.
Nicolas Carr|The Shallows|The Net is, by design, an interruption system, a machine geared for dividing attention.
Nicolas Carr|The Shallows|"How do users read on the Web?", [Jakob Neilsen] asked them. His succinct answer: "They don't."
Nicolas Carr|The Shallows|Once a means to an end, a way to identify information for deeper study, scanning is becoming an end in itself.
Roch Carrier|Fin|Il y a plus de bonheur dans le désir que dans sa satisfaction.
Roch Carrier|Fin|Le suicide est un manque d'humour absolu.
Chariton|Callirhoe|...are you not ashamed to be suffering the heartache of a boy?
Chariton|Callirhoe|...I, an islander born, am enclosed in the depths of a barbarian continent where no sea exists.
Comte de Buffon|NULL|Genius is only a greater aptitude for patience.
Joseph Conrad|Nostromo|The priest's inquisitional instincts suffered but little from the want of classical apparatus of the Inquisition.
Joseph Conrad|Nostromo|There is no credulity so eager and blind as the credulity of covetousness, which, in its universal extent, measures the moral misery and the intellectual destitution of mankind.
Joseph Conrad|Nostromo|The heroic Garibaldino sat on the same bench bowing his hoary head, his old soul dwelling alone with its memories, tender and violent, terrible and dreary - solitary on the earth full of men.
Joseph Conrad|The Shadow-Line|He, as I knew, was not in a state to interest himself in any sublunary matters.
Joseph Conrad|The Shadow-Line|He would have amused me if I had wanted to be amused.
Douglas Coupland|Miss Wyoming|...when you grow up these days, you're told you're going to have four or five different careers during your lifetime. But what they don't tell you is that you're also going to be four or five different people along the way.
